Zone ID,Zone Name,[81sas010043],[81sas040320],[81sas040323],[81sas040326],[81sas040329],[81sas040332],[81sas040335],[81sas040338],[81sas040341],[81sas040368],[81sas040371],[81sas040374],[81sas040377],[81sas454442],[81sas454446],[81sas464450],[81sas464451],[81sas464490],[81sas464491],[81sas484805],[81sas484808],[81sas484811],[81sas484814]
5601,BERWICKSHIRE,17896,17896,4276,13130,45,101,55,64,59,1,63,45,57,17896,1818,508,177,253,17,27,38,41,24
5602,ETTRICK AND LAUDERDALE,30957,30957,2953,26873,86,202,130,109,145,13,143,150,153,30957,3174,837,111,604,9,56,91,68,49
5603,ROXBURGH,34586,34586,4184,29415,97,180,140,88,133,5,152,75,117,34586,3441,909,144,691,17,28,49,47,25
5604,TWEEDDALE,13779,13779,1589,11569,49,110,49,66,92,2,87,77,89,13779,1391,362,56,215,5,19,45,26,34
5705,CLACKMANNAN,47356,47356,3186,42647,137,325,120,144,231,42,172,152,200,47356,4718,1161,22,755,6,67,144,82,30
5706,FALKIRK,143830,143830,6342,133453,311,706,616,316,588,100,558,406,434,143830,14315,3647,37,2489,5,239,332,222,89
5707,STIRLING,76929,76929,6799,67112,292,493,314,291,565,43,394,230,396,76929,7678,1890,112,1319,13,152,339,251,128
5808,ANNANDALE AND ESKDALE,34998,34998,5980,28081,119,212,103,72,120,8,121,73,109,34998,3539,967,199,533,13,49,75,63,39
5809,NITHSDALE,54916,54916,4545,48604,148,405,264,142,232,22,279,141,134,54916,5473,1366,175,1017,17,87,138,112,76
5810,STEWARTRY,22371,22371,2901,18616,88,258,70,68,139,4,103,30,94,22371,2227,570,177,289,22,26,59,53,67
5811,WIGTOWN,29605,29605,2464,26133,89,414,103,56,91,2,103,66,84,29605,2933,741,208,419,27,35,53,40,39
5912,DUNFERMLINE,122090,122090,12340,105655,454,866,472,328,852,55,434,271,363,122090,12182,3301,39,2000,8,200,309,174,81
5913,KIRKCALDY,142713,142713,7893,130507,360,796,424,395,747,81,646,440,424,142713,14321,3515,54,2394,19,219,295,205,95
5914,NORTH EAST FIFE,60263,60263,6159,50990,338,478,300,276,611,13,394,229,475,60263,6103,1563,190,972,14,101,284,163,162
6015,ABERDEEN CITY,199827,199827,10914,180487,466,824,366,1000,2216,49,1106,465,1934,199827,20180,5534,90,4268,10,626,682,441,213
6016,BANFF AND BUCHAN,80112,80112,4724,73630,226,320,118,237,274,4,257,106,216,80112,8111,2174,474,1163,31,112,180,103,62
6017,GORDON,61792,61792,5679,53390,311,248,105,496,474,10,329,109,641,61792,6164,1777,314,933,32,200,303,100,55
6018,KINCARDINE AND DEESIDE,41009,41009,4338,34036,186,208,83,233,399,6,292,98,1130,41009,4145,1202,208,628,23,78,190,100,47
6019,MORAY,80151,80151,9048,67862,490,595,168,261,745,26,573,100,283,80151,7901,2143,305,1089,26,114,191,96,83
6120,BADENOCH AND STRATHSPEY,9363,9363,1069,7884,35,47,29,82,62,2,55,43,55,9363,954,255,44,174,2,20,28,16,33
6121,CAITHNESS,26944,26944,2068,24044,82,117,38,59,97,11,81,23,324,26944,2728,749,91,377,13,43,70,62,26
6122,INVERNESS,54287,54287,4383,47975,186,279,154,228,374,14,296,111,287,54287,5396,1416,78,1013,8,126,189,136,83
6123,LOCHABER,19024,19024,1753,16582,75,141,110,65,89,5,77,47,80,19024,1933,505,60,287,3,28,60,34,21
6124,NAIRN,9640,9640,1015,8219,56,48,25,42,81,4,79,24,47,9640,978,269,34,141,1,23,27,19,20
6125,ROSS AND CROMARTY,44874,44874,4505,38715,192,265,107,202,309,10,253,104,212,44874,4465,1247,156,603,15,67,131,71,57
6126,SKYE AND LOCHALSH,9945,9945,1013,8690,59,17,12,40,49,0,21,11,33,9945,1015,240,43,95,0,10,33,30,18
6127,SUTHERLAND,12927,12927,1273,11280,38,45,32,68,64,9,47,14,57,12927,1255,307,57,171,6,17,37,32,19
6228,EAST LOTHIAN,78952,78952,5695,70739,233,417,317,211,408,22,330,205,375,78952,7834,2002,176,1384,30,112,242,141,89
6229,EDINBURGH CITY,425256,425256,34523,367358,1483,3032,2585,1889,5043,745,2969,1482,4147,425256,42664,10898,82,8869,22,1649,1760,1183,736
6230,MIDLOTHIAN,81680,81680,4994,74047,247,475,349,207,409,18,347,229,358,81680,8212,2259,65,1574,10,135,255,120,37
6231,WEST LOTHIAN,137220,137220,7584,125213,329,991,539,343,687,164,647,208,515,137220,13692,3405,72,2270,14,247,319,145,61
6332,ARGYLL AND BUTE,63684,63684,5734,53291,229,467,273,202,414,11,254,120,2689,63684,6538,1636,287,930,23,103,212,147,107
6333,BEARSDEN AND MILNGAVIE,39351,39351,3305,34055,136,356,149,165,490,71,188,116,320,39351,3957,1027,3,702,0,124,334,259,106
6334,CLYDEBANK,51999,51999,1290,48504,65,567,975,122,134,24,112,42,164,51999,5230,1185,3,853,0,68,75,57,29
6335,CUMBERNAULD AND KILSYTH,61534,61534,2066,57732,99,413,239,142,313,51,171,61,247,61534,6168,1530,16,1118,5,139,136,70,27
6336,CUMNOCK AND DOON VALLEY,44738,44738,1459,42549,57,202,76,61,92,7,105,64,66,44738,4513,1055,76,680,8,37,60,46,18
6337,CUNNINGHAME,136312,136312,7106,125031,317,1232,555,384,444,36,445,115,647,136312,13553,3057,87,1970,11,192,333,181,106
6338,DUMBARTON,76937,76937,7837,65804,348,743,509,293,510,45,249,141,458,76937,7603,1913,29,1281,9,155,259,156,98
6339,EAST KILBRIDE,82600,82600,3583,76701,173,595,343,230,326,22,242,78,307,82600,8386,2187,49,1547,3,191,216,150,43
6340,EASTWOOD,53395,53395,3542,47585,159,415,264,158,344,114,254,176,384,53395,5335,1406,11,922,5,168,345,281,109
6341,GLASGOW CITY,755429,755429,19603,701099,926,6488,9339,1476,6528,3531,2334,1098,3007,755429,75579,16185,20,12904,5,1499,1197,815,505
6342,HAMILTON,107935,107935,3198,102280,161,560,314,276,342,74,343,78,309,107935,10867,2564,26,1662,5,212,269,159,63
6343,INVERCLYDE,99565,99565,3467,92887,165,981,555,284,400,7,283,77,459,99565,9940,2292,15,1560,3,151,189,134,75
6344,KILMARNOCK AND LOUDOUN,81743,81743,3392,76155,148,723,257,210,236,15,300,86,221,81743,8169,1938,77,1409,21,119,193,93,49
6345,KYLE AND CARRICK,112273,112273,7443,100951,321,1018,368,393,585,23,486,153,532,112273,11384,2722,150,1753,18,224,380,314,144
6346,LANARK(NOW CLYDESDALE),56608,56608,2760,52345,112,376,204,125,225,28,176,62,195,56608,5641,1451,117,883,13,130,183,86,42
6347,MONKLANDS,109862,109862,2185,105443,93,733,438,170,206,109,219,71,195,109862,11154,2420,28,1742,7,161,136,97,43
6348,MOTHERWELL,149478,149478,3445,142733,175,940,554,275,358,186,265,89,458,149478,14872,3326,20,2183,4,206,217,139,67
6349,RENFREW,205323,205323,7095,191779,348,1801,1348,505,841,104,569,230,703,205323,20568,5114,54,3882,10,430,540,325,114
6350,STRATHKELVIN,86644,86644,3945,79773,197,602,451,235,636,75,316,106,308,86644,8811,2308,22,1601,2,259,387,253,69
6451,ANGUS,91454,91454,6097,81870,293,494,216,293,620,15,334,205,1017,91454,9115,2393,281,1460,33,145,262,168,107
6452,DUNDEE CITY,177545,177545,7874,163217,335,841,507,501,1678,357,860,453,922,177545,17805,4155,55,3250,12,342,451,325,153
6453,PERTH AND KINROSS,113708,113708,9352,99657,325,727,695,443,841,38,630,355,645,113708,11455,2867,368,1951,62,231,365,267,211
6554,ORKNEY ISLANDS,18425,18425,1456,16638,46,56,23,66,51,2,40,10,37,18425,1834,495,159,272,31,35,62,31,16
6555,SHETLAND ISLANDS,22768,22768,2837,19088,137,147,67,92,137,10,90,50,113,22768,2253,656,67,365,8,37,96,21,6
6556,WESTERN ISLES ISLANDS,30713,30713,1524,28605,61,55,28,113,87,14,137,16,73,30713,3000,661,50,332,2,30,68,45,41
